Artist,Album,Location,Art
Radiohead,Hail to the Thief,4,/assets/img/RadioheadHail to the Thief.jpg
Radiohead,I Might Be Wrong,4,/assets/img/RadioheadI Might Be Wrong.jpg
Radiohead,In Rainbows,4,/assets/img/RadioheadIn Rainbows.jpg
Radiohead,Kid A,4,/assets/img/RadioheadKid A.jpg
Radiohead,A Moon Shaped Pool,4,/assets/img/RadioheadA Moon Shaped Pool.jpg
Radiohead,OKNOTOK,4,/assets/img/RadioheadOKNOTOK.jpg
Refused,The Shape of Punk to Come,5,/assets/img/RefusedThe Shape of Punk to Come.jpg
Santana,Abraxas,5,/assets/img/SantanaAbraxas.jpg
Shaq,Strait Playin,5,/assets/img/ShaqStrait Playin.jpg
Shins,Chutes Too Narrow,5,/assets/img/ShinsChutes Too Narrow.jpg
Sigur Rós,( ),5,/assets/img/Sigur Rós( ).jpg
Sigur Rós,Ágætis byrjun,5,/assets/img/Sigur RósÁgætis byrjun.jpg
Sigur Rós,Kveikur,5,/assets/img/Sigur RósKveikur.jpg
Sigur Rós,Takk…,5,/assets/img/Sigur RósTakk….jpg
Slayer,Reign in Blood,5,/assets/img/SlayerReign in Blood.jpg
The Smashing Pumpkins,Siamese Dream,5,/assets/img/The Smashing PumpkinsSiamese Dream.jpg
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,5,/assets/img/The Smashing PumpkinsMellon Collie and the Infinite Sadness.jpg
Soft Glas,How Strange,5,/assets/img/Soft GlasHow Strange.jpg
Solange,A Seat at the Table,5,/assets/img/SolangeA Seat at the Table.jpg
St. Vincent,St. Vincent,5,/assets/img/St. VincentSt. Vincent.jpg
Stella Donnelly,Beware of the Dogs,5,/assets/img/Stella DonnellyBeware of the Dogs.jpg
Stella Donnelly,Thrush Metal,5,/assets/img/Stella DonnellyThrush Metal.jpg
The Strokes,Comedown Machine,5,/assets/img/The StrokesComedown Machine.jpg
The Strokes,Is This It (US Cover),5,/assets/img/The StrokesIs This It (US Cover).jpg
The Strokes,Room on Fire,5,/assets/img/The StrokesRoom on Fire.jpg
Sufjan Stevens,Age of Adz,5,/assets/img/Sufjan StevensAge of Adz.jpg
Sufjan Stevens,All Delighted People,5,/assets/img/Sufjan StevensAll Delighted People.jpg
Sufjan Stevens,Carrie and Lowell,5,/assets/img/Sufjan StevensCarrie and Lowell.jpg
Sufjan Stevens,Chicago (Demo),5,/assets/img/Sufjan StevensChicago (Demo).jpg
Sufjan Stevens,Enjoy Your Rabbit,5,/assets/img/Sufjan StevensEnjoy Your Rabbit.jpg
Sufjan Stevens,Illinois,5,/assets/img/Sufjan StevensIllinois.jpg
Sufjan Stevens,Michigan,5,/assets/img/Sufjan StevensMichigan.jpg
Sufjan Stevens,The Ascension,5,/assets/img/Sufjan StevensThe Ascension.jpg
Ta-Ku,Songs to Make Up To,6,/assets/img/Ta-KuSongs to Make Up To.jpg
Ta-Ku,(m)edian,6,/assets/img/Ta-Ku(m)edian.jpg
Talking Heads,Speaking in Tongues,6,/assets/img/Talking HeadsSpeaking in Tongues.jpg
The Tallest Man on Earth,Dark Bird is Home,6,/assets/img/The Tallest Man on EarthDark Bird is Home.jpg
The Tallest Man on Earth,The Wild Hunt,6,/assets/img/The Tallest Man on EarthThe Wild Hunt.jpg
